"evento_id","empleado_id","fecha_evento","mes_evento","tipo_evento","subtipo_evento","severidad","dias_perdidos","parte_cuerpo_afectada","turno_evento","hora_evento","descripcion_detalle","accion_correctiva","dias_time_to_fill","costo_estimado","area_empleado","puesto_empleado","antiguedad_meses_evento"
8523,1604,"2024-01-15","2024-01","contratacion","Contratación Operario Prensa","info",0,NULL,"Mañana","09:00:00","Nueva contratación: Pedro Ramos como Operario Prensa en Estampado",NULL,"34.0","150000.00","Estampado","Operario Prensa",0
8524,1604,"2024-01-16","2024-01","onboarding","Proceso de Inducción","info",0,NULL,"Mañana","08:00:00","Inicio proceso de onboarding para Pedro Ramos",NULL,"0.0","50000.00","Estampado","Operario Prensa",0
8525,1605,"2024-02-01","2024-02","contratacion","Contratación Operario Prensa","info",0,NULL,"Tarde","09:00:00","Nueva contratación: Ana Ramos como Operario Prensa en Estampado",NULL,"26.0","150000.00","Estampado","Operario Prensa",0
8526,1605,"2024-02-02","2024-02","onboarding","Proceso de Inducción","info",0,NULL,"Tarde","08:00:00","Inicio proceso de onboarding para Ana Ramos",NULL,"0.0","50000.00","Estampado","Operario Prensa",0
8527,1606,"2024-02-15","2024-02","contratacion","Contratación Operario Ensamble","info",0,NULL,"Mañana","09:00:00","Nueva contratación: Gabriel Moreno como Operario Ensamble en Ensamble",NULL,"29.0","150000.00","Ensamble","Operario Ensamble",0
8528,1606,"2024-02-16","2024-02","onboarding","Proceso de Inducción","info",0,NULL,"Mañana","08:00:00","Inicio proceso de onboarding para Gabriel Moreno",NULL,"0.0","50000.00","Ensamble","Operario Ensamble",0
8529,1607,"2024-03-01","2024-03","contratacion","Contratación Operario Ensamble","info",0,NULL,"Tarde","09:00:00","Nueva contratación: Valentina González como Operario Ensamble en Ensamble",NULL,"27.0","150000.00","Ensamble","Operario Ensamble",0
8530,1607,"2024-03-02","2024-03","onboarding","Proceso de Inducción","info",0,NULL,"Tarde","08:00:00","Inicio proceso de onboarding para Valentina González",NULL,"0.0","50000.00","Ensamble","Operario Ensamble",0
8531,1608,"2024-03-15","2024-03","contratacion","Contratación Inspector de Calidad","info",0,NULL,"Mañana","09:00:00","Nueva contratación: Roberto Jiménez como Inspector de Calidad en Calidad",NULL,"44.0","150000.00","Calidad","Inspector de Calidad",0
8532,1608,"2024-03-16","2024-03","onboarding","Proceso de Inducción","info",0,NULL,"Mañana","08:00:00","Inicio proceso de onboarding para Roberto Jiménez",NULL,"0.0","50000.00","Calidad","Inspector de Calidad",0
8533,1609,"2024-03-20","2024-03","contratacion","Contratación Operario Prensa","info",0,NULL,"Noche","09:00:00","Nueva contratación: Diego Ramos como Operario Prensa en Estampado",NULL,"28.0","150000.00","Estampado","Operario Prensa",0
8534,1609,"2024-03-21","2024-03","onboarding","Proceso de Inducción","info",0,NULL,"Noche","08:00:00","Inicio proceso de onboarding para Diego Ramos",NULL,"0.0","50000.00","Estampado","Operario Prensa",0
8535,1610,"2024-04-01","2024-04","contratacion","Contratación Operario Prensa","info",0,NULL,"Mañana","09:00:00","Nueva contratación: Carmen Torres como Operario Prensa en Estampado",NULL,"35.0","150000.00","Estampado","Operario Prensa",0
8536,1610,"2024-04-02","2024-04","onboarding","Proceso de Inducción","info",0,NULL,"Mañana","08:00:00","Inicio proceso de onboarding para Carmen Torres",NULL,"0.0","50000.00","Estampado","Operario Prensa",0
8537,1611,"2024-04-15","2024-04","contratacion","Contratación Operario Prensa","info",0,NULL,"Noche","09:00:00","Nueva contratación: Luis García como Operario Prensa en Estampado",NULL,"28.0","150000.00","Estampado","Operario Prensa",0
8538,1611,"2024-04-16","2024-04","onboarding","Proceso de Inducción","info",0,NULL,"Noche","08:00:00","Inicio proceso de onboarding para Luis García",NULL,"0.0","50000.00","Estampado","Operario Prensa",0
